week,sku,units_received,expected_date,actual_date
2026-W22,PIP-CL-BLK,242,2026-05-25,2026-05-25
2026-W26,PIP-CL-BLK,209,2026-06-22,2026-06-22
2026-W31,PIP-CL-BLK,228,2026-07-27,2026-07-27
2026-W11,PIP-CL-GLD,137,2026-03-09,2026-03-09
2026-W17,PIP-CL-GLD,140,2026-04-20,2026-04-20
2026-W22,PIP-CL-GLD,143,2026-05-25,2026-05-25
2026-W26,PIP-CL-GLD,129,2026-06-22,2026-06-22
2026-W31,PIP-CL-GLD,148,2026-07-27,2026-07-27
2026-W12,AST-BP-BLK,326,2026-03-16,2026-03-16
2026-W17,AST-BP-BLK,276,2026-04-20,2026-04-20
2026-W22,AST-BP-BLK,309,2026-05-25,2026-05-25
2026-W27,AST-BP-BLK,337,2026-06-29,2026-06-29
2026-W12,AST-BP-GRY,195,2026-03-16,2026-03-16
2026-W17,AST-BP-GRY,162,2026-04-20,2026-04-20
2026-W22,AST-BP-GRY,187,2026-05-25,2026-05-25
2026-W26,AST-BP-GRY,161,2026-06-22,2026-06-22
2026-W31,AST-BP-GRY,188,2026-07-27,2026-07-27
2026-W12,JUN-BK-TAN,258,2026-03-16,2026-03-16
2026-W17,JUN-BK-TAN,213,2026-04-20,2026-04-20
2026-W22,JUN-BK-TAN,254,2026-05-25,2026-05-25
2026-W27,JUN-BK-TAN,279,2026-06-29,2026-06-29
2026-W12,JUN-BK-BLK,290,2026-03-16,2026-03-16
2026-W17,JUN-BK-BLK,243,2026-04-20,2026-04-20
2026-W22,JUN-BK-BLK,298,2026-05-25,2026-05-25
2026-W25,JUN-BK-BLK,236,2026-06-15,2026-06-15
2026-W28,JUN-BK-BLK,258,2026-07-06,2026-07-06
2026-W12,ELL-MN-BLK,343,2026-03-16,2026-03-16
2026-W17,ELL-MN-BLK,298,2026-04-20,2026-04-20
2026-W22,ELL-MN-BLK,307,2026-05-25,2026-05-25
2026-W29,ELL-MN-BLK,317,2026-07-13,2026-07-13
2026-W12,ELL-MN-PNK,173,2026-03-16,2026-03-16
2026-W17,ELL-MN-PNK,143,2026-04-20,2026-04-20
2026-W22,ELL-MN-PNK,165,2026-05-25,2026-05-25
2026-W26,ELL-MN-PNK,151,2026-06-22,2026-06-22
2026-W31,ELL-MN-PNK,168,2026-07-27,2026-07-27
2026-W12,NAD-LF-BLK-36,98,2026-03-16,2026-03-16
2026-W17,NAD-LF-BLK-36,85,2026-04-20,2026-04-20
2026-W12,NAD-LF-BLK-37,119,2026-03-16,2026-03-16
2026-W17,NAD-LF-BLK-37,101,2026-04-20,2026-04-20
2026-W12,NAD-LF-BLK-38,104,2026-03-16,2026-03-16
2026-W18,NAD-LF-BLK-38,108,2026-04-27,2026-04-27
2026-W12,NAD-LF-TAN-36,73,2026-03-16,2026-03-16
2026-W17,NAD-LF-TAN-36,61,2026-04-20,2026-04-20
2026-W12,NAD-LF-TAN-37,81,2026-03-16,2026-03-16
2026-W18,NAD-LF-TAN-37,88,2026-04-27,2026-04-27
2026-W12,NAD-LF-TAN-38,73,2026-03-16,2026-03-16
2026-W17,NAD-LF-TAN-38,61,2026-04-20,2026-04-20
2026-W12,VER-HL-BLK-35,31,2026-03-16,2026-03-16
2026-W17,VER-HL-BLK-35,26,2026-04-20,2026-04-20
2026-W22,VER-HL-BLK-35,29,2026-05-25,2026-05-25
2026-W26,VER-HL-BLK-35,27,2026-06-22,2026-06-22
2026-W31,VER-HL-BLK-35,29,2026-07-27,2026-07-27
2026-W12,VER-HL-BLK-36,65,2026-03-16,2026-03-16
2026-W17,VER-HL-BLK-36,56,2026-04-20,2026-04-20
2026-W22,VER-HL-BLK-36,63,2026-05-25,2026-05-25
2026-W26,VER-HL-BLK-36,55,2026-06-22,2026-06-22
2026-W31,VER-HL-BLK-36,65,2026-07-27,2026-07-27
2026-W12,VER-HL-BLK-37,77,2026-03-16,2026-03-16
2026-W17,VER-HL-BLK-37,62,2026-04-20,2026-04-20
2026-W22,VER-HL-BLK-37,75,2026-05-25,2026-05-25
2026-W27,VER-HL-BLK-37,79,2026-06-29,2026-06-29
2026-W12,VER-HL-BLK-38,58,2026-03-16,2026-03-16
2026-W17,VER-HL-BLK-38,52,2026-04-20,2026-04-20
2026-W22,VER-HL-BLK-38,56,2026-05-25,2026-05-25
2026-W27,VER-HL-BLK-38,61,2026-06-29,2026-06-29
2026-W11,VER-HL-BLK-39,33,2026-03-09,2026-03-09
2026-W17,VER-HL-BLK-39,36,2026-04-20,2026-04-20
2026-W22,VER-HL-BLK-39,34,2026-05-25,2026-05-25
2026-W26,VER-HL-BLK-39,32,2026-06-22,2026-06-22
2026-W31,VER-HL-BLK-39,36,2026-07-27,2026-07-27
2026-W12,VER-HL-BLK-40,15,2026-03-16,2026-03-16
2026-W18,VER-HL-BLK-40,13,2026-04-27,2026-04-27
2026-W22,VER-HL-BLK-40,12,2026-05-25,2026-05-25
2026-W26,VER-HL-BLK-40,12,2026-06-22,2026-06-22
2026-W31,VER-HL-BLK-40,13,2026-07-27,2026-07-27
2026-W11,VER-HL-RED-35,15,2026-03-09,2026-03-09
2026-W16,VER-HL-RED-35,12,2026-04-13,2026-04-13
2026-W20,VER-HL-RED-35,12,2026-05-11,2026-05-11
2026-W24,VER-HL-RED-35,12,2026-06-08,2026-06-08
2026-W28,VER-HL-RED-35,12,2026-07-06,2026-07-06
2026-W12,VER-HL-RED-36,31,2026-03-16,2026-03-16
2026-W17,VER-HL-RED-36,27,2026-04-20,2026-04-20
2026-W22,VER-HL-RED-36,28,2026-05-25,2026-05-25
2026-W27,VER-HL-RED-36,32,2026-06-29,2026-06-29
2026-W11,VER-HL-RED-37,32,2026-03-09,2026-03-09
2026-W16,VER-HL-RED-37,30,2026-04-13,2026-04-13
2026-W21,VER-HL-RED-37,32,2026-05-18,2026-05-18
2026-W25,VER-HL-RED-37,30,2026-06-15,2026-06-15
2026-W29,VER-HL-RED-37,29,2026-07-13,2026-07-13
2026-W11,VER-HL-RED-38,25,2026-03-09,2026-03-09
2026-W17,VER-HL-RED-38,27,2026-04-20,2026-04-20
2026-W22,VER-HL-RED-38,29,2026-05-25,2026-05-25
2026-W27,VER-HL-RED-38,28,2026-06-29,2026-06-29
2026-W11,VER-HL-RED-39,16,2026-03-09,2026-03-09
2026-W17,VER-HL-RED-39,17,2026-04-20,2026-04-20
2026-W22,VER-HL-RED-39,17,2026-05-25,2026-05-25
2026-W27,VER-HL-RED-39,18,2026-06-29,2026-06-29
2026-W12,VER-HL-RED-40,11,2026-03-16,2026-03-16
2026-W18,VER-HL-RED-40,12,2026-04-27,2026-04-27
2026-W23,VER-HL-RED-40,10,2026-06-01,2026-06-01
2026-W29,VER-HL-RED-40,11,2026-07-13,2026-07-13
2026-W11,CLE-SD-TAN-35,42,2026-03-09,2026-03-09
2026-W17,CLE-SD-TAN-35,41,2026-04-20,2026-04-20
2026-W22,CLE-SD-TAN-35,45,2026-05-25,2026-05-25
2026-W27,CLE-SD-TAN-35,45,2026-06-29,2026-06-29
2026-W11,CLE-SD-TAN-36,86,2026-03-09,2026-03-09
2026-W17,CLE-SD-TAN-36,84,2026-04-20,2026-04-20
2026-W22,CLE-SD-TAN-36,92,2026-05-25,2026-05-25
2026-W27,CLE-SD-TAN-36,96,2026-06-29,2026-06-29
2026-W12,CLE-SD-TAN-37,99,2026-03-16,2026-03-16
2026-W17,CLE-SD-TAN-37,85,2026-04-20,2026-04-20
2026-W22,CLE-SD-TAN-37,93,2026-05-25,2026-05-25
2026-W27,CLE-SD-TAN-37,102,2026-06-29,2026-06-29
2026-W12,CLE-SD-TAN-38,76,2026-03-16,2026-03-16
2026-W17,CLE-SD-TAN-38,61,2026-04-20,2026-04-20
2026-W22,CLE-SD-TAN-38,75,2026-05-25,2026-05-25
2026-W27,CLE-SD-TAN-38,80,2026-06-29,2026-06-29
2026-W11,CLE-SD-TAN-39,45,2026-03-09,2026-03-09
2026-W17,CLE-SD-TAN-39,48,2026-04-20,2026-04-20
2026-W22,CLE-SD-TAN-39,49,2026-05-25,2026-05-25
2026-W27,CLE-SD-TAN-39,51,2026-06-29,2026-06-29
2026-W12,CLE-SD-TAN-40,19,2026-03-16,2026-03-16
2026-W18,CLE-SD-TAN-40,20,2026-04-27,2026-04-27
2026-W23,CLE-SD-TAN-40,18,2026-06-01,2026-06-01
2026-W28,CLE-SD-TAN-40,19,2026-07-06,2026-07-06
2026-W12,CLE-SD-WHT-35,29,2026-03-16,2026-03-16
2026-W17,CLE-SD-WHT-35,25,2026-04-20,2026-04-20
2026-W22,CLE-SD-WHT-35,28,2026-05-25,2026-05-25
2026-W26,CLE-SD-WHT-35,27,2026-06-22,2026-06-22
2026-W31,CLE-SD-WHT-35,29,2026-07-27,2026-07-27
2026-W12,CLE-SD-WHT-36,59,2026-03-16,2026-03-16
2026-W17,CLE-SD-WHT-36,54,2026-04-20,2026-04-20
2026-W22,CLE-SD-WHT-36,56,2026-05-25,2026-05-25
2026-W27,CLE-SD-WHT-36,62,2026-06-29,2026-06-29
2026-W12,CLE-SD-WHT-37,65,2026-03-16,2026-03-16
2026-W17,CLE-SD-WHT-37,55,2026-04-20,2026-04-20
2026-W22,CLE-SD-WHT-37,60,2026-05-25,2026-05-25
2026-W27,CLE-SD-WHT-37,65,2026-06-29,2026-06-29
2026-W12,CLE-SD-WHT-38,48,2026-03-16,2026-03-16
2026-W18,CLE-SD-WHT-38,52,2026-04-27,2026-04-27
2026-W23,CLE-SD-WHT-38,48,2026-06-01,2026-06-01
2026-W27,CLE-SD-WHT-38,43,2026-06-29,2026-06-29
2026-W11,CLE-SD-WHT-39,30,2026-03-09,2026-03-09
2026-W17,CLE-SD-WHT-39,29,2026-04-20,2026-04-20
2026-W22,CLE-SD-WHT-39,32,2026-05-25,2026-05-25
2026-W26,CLE-SD-WHT-39,28,2026-06-22,2026-06-22
2026-W31,CLE-SD-WHT-39,30,2026-07-27,2026-07-27
2026-W12,CLE-SD-WHT-40,11,2026-03-16,2026-03-16
2026-W18,CLE-SD-WHT-40,13,2026-04-27,2026-04-27
2026-W24,CLE-SD-WHT-40,11,2026-06-08,2026-06-08
2026-W28,CLE-SD-WHT-40,10,2026-07-06,2026-07-06
2026-W11,LUN-PD-GLD,469,2026-03-09,2026-03-09
2026-W17,LUN-PD-GLD,490,2026-04-20,2026-04-20
2026-W22,LUN-PD-GLD,513,2026-05-25,2026-05-25
2026-W26,LUN-PD-GLD,525,2026-06-22,2026-06-22
2026-W31,LUN-PD-GLD,469,2026-07-27,2026-07-27
2026-W12,LUN-PD-SLV,398,2026-03-16,2026-03-16
2026-W17,LUN-PD-SLV,325,2026-04-20,2026-04-20
2026-W22,LUN-PD-SLV,394,2026-05-25,2026-05-25
2026-W27,LUN-PD-SLV,394,2026-06-29,2026-06-29
2026-W12,ORL-HP-GLD,640,2026-03-16,2026-03-16
2026-W17,ORL-HP-GLD,518,2026-04-20,2026-04-20
2026-W22,ORL-HP-GLD,639,2026-05-25,2026-05-25
2026-W26,ORL-HP-GLD,621,2026-06-22,2026-06-22
2026-W31,ORL-HP-GLD,592,2026-07-27,2026-07-27
2026-W11,ORL-HP-SLV,441,2026-03-09,2026-03-09
2026-W17,ORL-HP-SLV,468,2026-04-20,2026-04-20
2026-W22,ORL-HP-SLV,467,2026-05-25,2026-05-25
2026-W26,ORL-HP-SLV,417,2026-06-22,2026-06-22
2026-W31,ORL-HP-SLV,458,2026-07-27,2026-07-27
2026-W11,IVY-CF-GLD,202,2026-03-09,2026-03-09
2026-W17,IVY-CF-GLD,216,2026-04-20,2026-04-20
2026-W22,IVY-CF-GLD,221,2026-05-25,2026-05-25
2026-W27,IVY-CF-GLD,232,2026-06-29,2026-06-29
2026-W12,NOV-ST-GLD,539,2026-03-16,2026-03-16
2026-W17,NOV-ST-GLD,434,2026-04-20,2026-04-20
2026-W22,NOV-ST-GLD,519,2026-05-25,2026-05-25
2026-W27,NOV-ST-GLD,528,2026-06-29,2026-06-29
2026-W11,NOV-ST-SLV,375,2026-03-09,2026-03-09
2026-W16,NOV-ST-SLV,335,2026-04-13,2026-04-13
2026-W21,NOV-ST-SLV,390,2026-05-18,2026-05-18
2026-W25,NOV-ST-SLV,344,2026-06-15,2026-06-15
2026-W29,NOV-ST-SLV,346,2026-07-13,2026-07-13
2026-W11,THE-CH-GLD,244,2026-03-09,2026-03-09
2026-W17,THE-CH-GLD,255,2026-04-20,2026-04-20
2026-W22,THE-CH-GLD,263,2026-05-25,2026-05-25
2026-W27,THE-CH-GLD,275,2026-06-29,2026-06-29
2026-W12,SOL-AV-GLD,305,2026-03-16,2026-03-16
2026-W17,SOL-AV-GLD,255,2026-04-20,2026-04-20
2026-W22,SOL-AV-GLD,285,2026-05-25,2026-05-25
2026-W27,SOL-AV-GLD,279,2026-06-29,2026-06-29
2026-W12,SOL-AV-BLK,248,2026-03-16,2026-03-16
2026-W17,SOL-AV-BLK,201,2026-04-20,2026-04-20
2026-W22,SOL-AV-BLK,232,2026-05-25,2026-05-25
2026-W27,SOL-AV-BLK,218,2026-06-29,2026-06-29
2026-W11,MIR-CE-BLK,255,2026-03-09,2026-03-09
2026-W17,MIR-CE-BLK,256,2026-04-20,2026-04-20
2026-W22,MIR-CE-BLK,254,2026-05-25,2026-05-25
2026-W27,MIR-CE-BLK,255,2026-06-29,2026-06-29
2026-W11,MIR-CE-TOR,166,2026-03-09,2026-03-09
2026-W17,MIR-CE-TOR,172,2026-04-20,2026-04-20
2026-W22,MIR-CE-TOR,179,2026-05-25,2026-05-25
2026-W27,MIR-CE-TOR,163,2026-06-29,2026-06-29
2026-W11,KAI-RD-GLD,183,2026-03-09,2026-03-09
2026-W17,KAI-RD-GLD,195,2026-04-20,2026-04-20
2026-W22,KAI-RD-GLD,198,2026-05-25,2026-05-25
2026-W28,KAI-RD-GLD,179,2026-07-06,2026-07-06
2026-W11,KAI-RD-BLK,151,2026-03-09,2026-03-09
2026-W17,KAI-RD-BLK,150,2026-04-20,2026-04-20
2026-W22,KAI-RD-BLK,150,2026-05-25,2026-05-25
2026-W27,KAI-RD-BLK,140,2026-06-29,2026-06-29
2026-W11,ROW-BT-BLK,321,2026-03-09,2026-03-09
2026-W17,ROW-BT-BLK,335,2026-04-20,2026-04-20
2026-W22,ROW-BT-BLK,346,2026-05-25,2026-05-25
2026-W27,ROW-BT-BLK,366,2026-06-29,2026-06-29
2026-W11,ROW-BT-TAN,258,2026-03-09,2026-03-09
2026-W17,ROW-BT-TAN,272,2026-04-20,2026-04-20
2026-W22,ROW-BT-TAN,272,2026-05-25,2026-05-25
2026-W26,ROW-BT-TAN,240,2026-06-22,2026-06-22
2026-W31,ROW-BT-TAN,278,2026-07-27,2026-07-27
2026-W11,QUI-CH-BLK,455,2026-03-09,2026-03-09
2026-W17,QUI-CH-BLK,483,2026-04-20,2026-04-20
2026-W22,QUI-CH-BLK,502,2026-05-25,2026-05-25
2026-W26,QUI-CH-BLK,524,2026-06-22,2026-06-22
2026-W31,QUI-CH-BLK,446,2026-07-27,2026-07-27
2026-W12,QUI-CH-TAN,336,2026-03-16,2026-03-16
2026-W17,QUI-CH-TAN,294,2026-04-20,2026-04-20
2026-W22,QUI-CH-TAN,324,2026-05-25,2026-05-25
2026-W27,QUI-CH-TAN,355,2026-06-29,2026-06-29
2026-W12,FAY-WL-BLK,305,2026-03-16,2026-03-16
2026-W17,FAY-WL-BLK,266,2026-04-20,2026-04-20
2026-W22,FAY-WL-BLK,302,2026-05-25,2026-05-25
2026-W27,FAY-WL-BLK,321,2026-06-29,2026-06-29
2026-W12,FAY-WL-TAN,216,2026-03-16,2026-03-16
2026-W18,FAY-WL-TAN,218,2026-04-27,2026-04-27
2026-W23,FAY-WL-TAN,203,2026-06-01,2026-06-01
2026-W27,FAY-WL-TAN,183,2026-06-29,2026-06-29
2026-W12,IRI-PC-BLK,261,2026-03-16,2026-03-16
2026-W17,IRI-PC-BLK,218,2026-04-20,2026-04-20
2026-W22,IRI-PC-BLK,261,2026-05-25,2026-05-25
2026-W26,IRI-PC-BLK,233,2026-06-22,2026-06-22
2026-W31,IRI-PC-BLK,257,2026-07-27,2026-07-27
2026-W12,TIL-CM-GLD,672,2026-03-16,2026-03-16
2026-W17,TIL-CM-GLD,546,2026-04-20,2026-04-20
2026-W22,TIL-CM-GLD,646,2026-05-25,2026-05-25
2026-W26,TIL-CM-GLD,693,2026-06-22,2026-06-22
2026-W31,TIL-CM-GLD,625,2026-07-27,2026-07-27
2026-W12,TIL-CM-MIX,485,2026-03-16,2026-03-16
2026-W17,TIL-CM-MIX,405,2026-04-20,2026-04-20
2026-W22,TIL-CM-MIX,485,2026-05-25,2026-05-25
2026-W26,TIL-CM-MIX,419,2026-06-22,2026-06-22
2026-W31,TIL-CM-MIX,499,2026-07-27,2026-07-27
2026-W11,BO-TSL-TAN,365,2026-03-09,2026-03-09
2026-W16,BO-TSL-TAN,341,2026-04-13,2026-04-13
2026-W21,BO-TSL-TAN,377,2026-05-18,2026-05-18
2026-W26,BO-TSL-TAN,438,2026-06-22,2026-06-22
2026-W31,BO-TSL-TAN,389,2026-07-27,2026-07-27
