week,sku,channel,units,revenue,discount_pct
2026-W24,MRL-CB-BLK,store,104,25792.0,0.2
2026-W24,MRL-CB-BLK,ecom,72,17856.0,0.2
2026-W25,MRL-CB-BLK,store,107,26536.0,0.2
2026-W25,MRL-CB-BLK,ecom,72,17856.0,0.2
2026-W26,MRL-CB-BLK,store,96,23808.0,0.2
2026-W26,MRL-CB-BLK,ecom,79,19592.0,0.2
2026-W27,MRL-CB-BLK,store,50,15500.0,0.0
2026-W27,MRL-CB-BLK,ecom,35,10850.0,0.0
2026-W28,MRL-CB-BLK,store,54,16740.0,0.0
2026-W28,MRL-CB-BLK,ecom,41,12710.0,0.0
2026-W29,MRL-CB-BLK,store,56,17360.0,0.0
2026-W29,MRL-CB-BLK,ecom,40,12400.0,0.0
2026-W30,MRL-CB-BLK,store,50,15500.0,0.0
2026-W30,MRL-CB-BLK,ecom,38,11780.0,0.0
2026-W31,MRL-CB-BLK,store,53,16430.0,0.0
2026-W31,MRL-CB-BLK,ecom,36,11160.0,0.0
2026-W06,MRL-CB-CRM,store,49,14504.0,0.0
2026-W06,MRL-CB-CRM,ecom,32,9472.0,0.0
2026-W07,MRL-CB-CRM,store,48,14208.0,0.0
2026-W07,MRL-CB-CRM,ecom,35,10360.0,0.0
2026-W08,MRL-CB-CRM,store,50,14800.0,0.0
2026-W08,MRL-CB-CRM,ecom,34,10064.0,0.0
2026-W09,MRL-CB-CRM,store,48,14208.0,0.0
2026-W09,MRL-CB-CRM,ecom,35,10360.0,0.0
2026-W10,MRL-CB-CRM,store,51,15096.0,0.0
2026-W10,MRL-CB-CRM,ecom,38,11248.0,0.0
2026-W11,MRL-CB-CRM,store,44,13024.0,0.0
2026-W11,MRL-CB-CRM,ecom,31,9176.0,0.0
2026-W12,MRL-CB-CRM,store,53,15688.0,0.0
2026-W12,MRL-CB-CRM,ecom,35,10360.0,0.0
2026-W13,MRL-CB-CRM,store,43,12728.0,0.0
2026-W13,MRL-CB-CRM,ecom,33,9768.0,0.0
2026-W14,MRL-CB-CRM,store,47,13912.0,0.0
2026-W14,MRL-CB-CRM,ecom,31,9176.0,0.0
2026-W15,MRL-CB-CRM,store,43,12728.0,0.0
2026-W15,MRL-CB-CRM,ecom,35,10360.0,0.0
2026-W16,MRL-CB-CRM,store,46,13616.0,0.0
2026-W16,MRL-CB-CRM,ecom,29,8584.0,0.0
2026-W17,MRL-CB-CRM,store,50,14800.0,0.0
2026-W17,MRL-CB-CRM,ecom,37,10952.0,0.0
2026-W18,MRL-CB-CRM,store,40,11840.0,0.0
2026-W18,MRL-CB-CRM,ecom,32,9472.0,0.0
2026-W19,MRL-CB-CRM,store,44,13024.0,0.0
2026-W19,MRL-CB-CRM,ecom,35,10360.0,0.0
2026-W20,MRL-CB-CRM,store,49,14504.0,0.0
2026-W20,MRL-CB-CRM,ecom,40,11840.0,0.0
2026-W21,MRL-CB-CRM,store,54,14385.6,0.1
2026-W21,MRL-CB-CRM,ecom,44,11721.6,0.1
2026-W22,MRL-CB-CRM,store,49,13053.6,0.1
2026-W22,MRL-CB-CRM,ecom,36,9590.4,0.1
2026-W23,MRL-CB-CRM,store,45,11988.0,0.1
2026-W23,MRL-CB-CRM,ecom,36,9590.4,0.1
2026-W24,MRL-CB-CRM,store,52,13852.8,0.1
2026-W24,MRL-CB-CRM,ecom,33,8791.2,0.1
2026-W25,MRL-CB-CRM,store,48,12787.2,0.1
2026-W25,MRL-CB-CRM,ecom,38,10123.2,0.1
2026-W26,MRL-CB-CRM,store,55,14652.0,0.1
2026-W26,MRL-CB-CRM,ecom,41,10922.4,0.1
2026-W27,MRL-CB-CRM,store,51,15096.0,0.0
2026-W27,MRL-CB-CRM,ecom,35,10360.0,0.0
2026-W28,MRL-CB-CRM,store,44,13024.0,0.0
2026-W28,MRL-CB-CRM,ecom,35,10360.0,0.0
2026-W29,MRL-CB-CRM,store,44,13024.0,0.0
2026-W29,MRL-CB-CRM,ecom,35,10360.0,0.0
2026-W30,MRL-CB-CRM,store,46,13616.0,0.0
2026-W30,MRL-CB-CRM,ecom,32,9472.0,0.0
2026-W31,MRL-CB-CRM,store,51,15096.0,0.0
2026-W31,MRL-CB-CRM,ecom,34,10064.0,0.0
2026-W06,MRL-CB-OLV,store,26,4875.0,0.25
2026-W06,MRL-CB-OLV,ecom,19,3562.5,0.25
2026-W07,MRL-CB-OLV,store,22,4125.0,0.25
2026-W07,MRL-CB-OLV,ecom,17,3187.5,0.25
2026-W08,MRL-CB-OLV,store,24,4500.0,0.25
2026-W08,MRL-CB-OLV,ecom,17,3187.5,0.25
2026-W09,MRL-CB-OLV,store,27,5062.5,0.25
2026-W09,MRL-CB-OLV,ecom,21,3937.5,0.25
2026-W10,MRL-CB-OLV,store,26,4875.0,0.25
2026-W10,MRL-CB-OLV,ecom,17,3187.5,0.25
2026-W11,MRL-CB-OLV,store,27,5062.5,0.25
2026-W11,MRL-CB-OLV,ecom,19,3562.5,0.25
2026-W12,MRL-CB-OLV,store,23,4312.5,0.25
2026-W12,MRL-CB-OLV,ecom,18,3375.0,0.25
2026-W13,MRL-CB-OLV,store,26,4875.0,0.25
2026-W13,MRL-CB-OLV,ecom,19,3562.5,0.25
2026-W14,MRL-CB-OLV,store,27,5062.5,0.25
2026-W14,MRL-CB-OLV,ecom,19,3562.5,0.25
2026-W15,MRL-CB-OLV,store,27,5062.5,0.25
2026-W15,MRL-CB-OLV,ecom,19,3562.5,0.25
2026-W16,MRL-CB-OLV,store,25,4687.5,0.25
2026-W16,MRL-CB-OLV,ecom,19,3562.5,0.25
2026-W17,MRL-CB-OLV,store,24,4500.0,0.25
2026-W17,MRL-CB-OLV,ecom,17,3187.5,0.25
2026-W18,MRL-CB-OLV,store,24,4500.0,0.25
2026-W18,MRL-CB-OLV,ecom,19,3562.5,0.25
2026-W19,MRL-CB-OLV,store,23,4312.5,0.25
2026-W19,MRL-CB-OLV,ecom,18,3375.0,0.25
2026-W20,MRL-CB-OLV,store,26,4875.0,0.25
2026-W20,MRL-CB-OLV,ecom,20,3750.0,0.25
2026-W21,MRL-CB-OLV,store,30,5625.0,0.25
2026-W21,MRL-CB-OLV,ecom,23,4312.5,0.25
2026-W22,MRL-CB-OLV,store,26,4875.0,0.25
2026-W22,MRL-CB-OLV,ecom,20,3750.0,0.25
2026-W23,MRL-CB-OLV,store,29,5437.5,0.25
2026-W23,MRL-CB-OLV,ecom,21,3937.5,0.25
2026-W24,MRL-CB-OLV,store,30,5625.0,0.25
2026-W24,MRL-CB-OLV,ecom,22,4125.0,0.25
2026-W25,MRL-CB-OLV,store,27,5062.5,0.25
2026-W25,MRL-CB-OLV,ecom,21,3937.5,0.25
2026-W26,MRL-CB-OLV,store,30,5625.0,0.25
2026-W26,MRL-CB-OLV,ecom,22,4125.0,0.25
2026-W27,MRL-CB-OLV,store,24,4500.0,0.25
2026-W27,MRL-CB-OLV,ecom,16,3000.0,0.25
2026-W28,MRL-CB-OLV,store,27,5062.5,0.25
2026-W28,MRL-CB-OLV,ecom,19,3562.5,0.25
2026-W29,MRL-CB-OLV,store,27,5062.5,0.25
2026-W29,MRL-CB-OLV,ecom,18,3375.0,0.25
2026-W30,MRL-CB-OLV,store,24,4500.0,0.25
2026-W30,MRL-CB-OLV,ecom,18,3375.0,0.25
2026-W31,MRL-CB-OLV,store,24,4500.0,0.25
2026-W31,MRL-CB-OLV,ecom,17,3187.5,0.25
2026-W06,SIE-TT-BLK,store,43,18060.0,0.0
2026-W06,SIE-TT-BLK,ecom,32,13440.0,0.0
2026-W07,SIE-TT-BLK,store,39,16380.0,0.0
2026-W07,SIE-TT-BLK,ecom,26,10920.0,0.0
2026-W08,SIE-TT-BLK,store,44,18480.0,0.0
2026-W08,SIE-TT-BLK,ecom,29,12180.0,0.0
2026-W09,SIE-TT-BLK,store,44,18480.0,0.0
2026-W09,SIE-TT-BLK,ecom,30,12600.0,0.0
2026-W10,SIE-TT-BLK,store,43,18060.0,0.0
2026-W10,SIE-TT-BLK,ecom,28,11760.0,0.0
2026-W11,SIE-TT-BLK,store,41,17220.0,0.0
2026-W11,SIE-TT-BLK,ecom,32,13440.0,0.0
2026-W12,SIE-TT-BLK,store,49,20580.0,0.0
2026-W12,SIE-TT-BLK,ecom,32,13440.0,0.0
2026-W13,SIE-TT-BLK,store,45,18900.0,0.0
2026-W13,SIE-TT-BLK,ecom,32,13440.0,0.0
2026-W14,SIE-TT-BLK,store,41,17220.0,0.0
2026-W14,SIE-TT-BLK,ecom,28,11760.0,0.0
2026-W15,SIE-TT-BLK,store,42,17640.0,0.0
2026-W15,SIE-TT-BLK,ecom,29,12180.0,0.0
2026-W16,SIE-TT-BLK,store,39,16380.0,0.0
2026-W16,SIE-TT-BLK,ecom,31,13020.0,0.0
2026-W17,SIE-TT-BLK,store,40,16800.0,0.0
2026-W17,SIE-TT-BLK,ecom,30,12600.0,0.0
2026-W18,SIE-TT-BLK,store,42,17640.0,0.0
2026-W18,SIE-TT-BLK,ecom,34,14280.0,0.0
2026-W19,SIE-TT-BLK,store,38,15960.0,0.0
2026-W19,SIE-TT-BLK,ecom,28,11760.0,0.0
2026-W20,SIE-TT-BLK,store,48,20160.0,0.0
2026-W20,SIE-TT-BLK,ecom,31,13020.0,0.0
2026-W21,SIE-TT-BLK,store,62,20832.0,0.2
2026-W21,SIE-TT-BLK,ecom,49,16464.0,0.2
2026-W22,SIE-TT-BLK,store,51,17136.0,0.2
2026-W22,SIE-TT-BLK,ecom,38,12768.0,0.2
2026-W23,SIE-TT-BLK,store,60,20160.0,0.2
2026-W23,SIE-TT-BLK,ecom,45,15120.0,0.2
2026-W24,SIE-TT-BLK,store,61,20496.0,0.2
2026-W24,SIE-TT-BLK,ecom,45,15120.0,0.2
2026-W25,SIE-TT-BLK,store,59,19824.0,0.2
2026-W25,SIE-TT-BLK,ecom,43,14448.0,0.2
2026-W26,SIE-TT-BLK,store,53,17808.0,0.2
2026-W26,SIE-TT-BLK,ecom,35,11760.0,0.2
2026-W27,SIE-TT-BLK,store,29,12180.0,0.0
2026-W27,SIE-TT-BLK,ecom,22,9240.0,0.0
2026-W28,SIE-TT-BLK,store,28,11760.0,0.0
2026-W28,SIE-TT-BLK,ecom,22,9240.0,0.0
2026-W29,SIE-TT-BLK,store,33,13860.0,0.0
2026-W29,SIE-TT-BLK,ecom,23,9660.0,0.0
2026-W30,SIE-TT-BLK,store,29,12180.0,0.0
2026-W30,SIE-TT-BLK,ecom,20,8400.0,0.0
2026-W31,SIE-TT-BLK,store,28,11760.0,0.0
2026-W31,SIE-TT-BLK,ecom,19,7980.0,0.0
2026-W06,SIE-TT-TAN,store,32,13440.0,0.0
2026-W06,SIE-TT-TAN,ecom,23,9660.0,0.0
2026-W07,SIE-TT-TAN,store,34,14280.0,0.0
2026-W07,SIE-TT-TAN,ecom,23,9660.0,0.0
2026-W08,SIE-TT-TAN,store,34,14280.0,0.0
2026-W08,SIE-TT-TAN,ecom,26,10920.0,0.0
2026-W09,SIE-TT-TAN,store,37,15540.0,0.0
2026-W09,SIE-TT-TAN,ecom,27,11340.0,0.0
2026-W10,SIE-TT-TAN,store,35,14700.0,0.0
2026-W10,SIE-TT-TAN,ecom,28,11760.0,0.0
2026-W11,SIE-TT-TAN,store,33,13860.0,0.0
2026-W11,SIE-TT-TAN,ecom,22,9240.0,0.0
2026-W12,SIE-TT-TAN,store,36,15120.0,0.0
2026-W12,SIE-TT-TAN,ecom,24,10080.0,0.0
2026-W13,SIE-TT-TAN,store,35,14700.0,0.0
2026-W13,SIE-TT-TAN,ecom,23,9660.0,0.0
2026-W14,SIE-TT-TAN,store,29,12180.0,0.0
2026-W14,SIE-TT-TAN,ecom,22,9240.0,0.0
2026-W15,SIE-TT-TAN,store,31,13020.0,0.0
2026-W15,SIE-TT-TAN,ecom,22,9240.0,0.0
2026-W16,SIE-TT-TAN,store,35,14700.0,0.0
2026-W16,SIE-TT-TAN,ecom,25,10500.0,0.0
2026-W17,SIE-TT-TAN,store,32,13440.0,0.0
2026-W17,SIE-TT-TAN,ecom,22,9240.0,0.0
2026-W18,SIE-TT-TAN,store,35,14700.0,0.0
2026-W18,SIE-TT-TAN,ecom,24,10080.0,0.0
2026-W19,SIE-TT-TAN,store,30,12600.0,0.0
2026-W19,SIE-TT-TAN,ecom,22,9240.0,0.0
2026-W20,SIE-TT-TAN,store,35,14700.0,0.0
2026-W20,SIE-TT-TAN,ecom,27,11340.0,0.0
2026-W21,SIE-TT-TAN,store,37,13986.0,0.1
2026-W21,SIE-TT-TAN,ecom,28,10584.0,0.1
2026-W22,SIE-TT-TAN,store,32,12096.0,0.1
2026-W22,SIE-TT-TAN,ecom,25,9450.0,0.1
2026-W23,SIE-TT-TAN,store,37,13986.0,0.1
2026-W23,SIE-TT-TAN,ecom,25,9450.0,0.1
2026-W24,SIE-TT-TAN,store,40,15120.0,0.1
2026-W24,SIE-TT-TAN,ecom,30,11340.0,0.1
2026-W25,SIE-TT-TAN,store,38,14364.0,0.1
2026-W25,SIE-TT-TAN,ecom,26,9828.0,0.1
2026-W26,SIE-TT-TAN,store,36,13608.0,0.1
2026-W26,SIE-TT-TAN,ecom,25,9450.0,0.1
2026-W27,SIE-TT-TAN,store,29,12180.0,0.0
2026-W27,SIE-TT-TAN,ecom,20,8400.0,0.0
2026-W28,SIE-TT-TAN,store,37,15540.0,0.0
2026-W28,SIE-TT-TAN,ecom,24,10080.0,0.0
2026-W29,SIE-TT-TAN,store,31,13020.0,0.0
2026-W29,SIE-TT-TAN,ecom,24,10080.0,0.0
2026-W30,SIE-TT-TAN,store,33,13860.0,0.0
2026-W30,SIE-TT-TAN,ecom,22,9240.0,0.0
2026-W31,SIE-TT-TAN,store,32,13440.0,0.0
2026-W31,SIE-TT-TAN,ecom,24,10080.0,0.0
2026-W06,SIE-TT-NVY,store,23,9660.0,0.0
2026-W06,SIE-TT-NVY,ecom,16,6720.0,0.0
2026-W07,SIE-TT-NVY,store,20,8400.0,0.0
2026-W07,SIE-TT-NVY,ecom,15,6300.0,0.0
2026-W08,SIE-TT-NVY,store,25,10500.0,0.0
2026-W08,SIE-TT-NVY,ecom,17,7140.0,0.0
2026-W09,SIE-TT-NVY,store,23,9660.0,0.0
2026-W09,SIE-TT-NVY,ecom,16,6720.0,0.0
2026-W10,SIE-TT-NVY,store,21,8820.0,0.0
2026-W10,SIE-TT-NVY,ecom,16,6720.0,0.0
2026-W11,SIE-TT-NVY,store,22,9240.0,0.0
2026-W11,SIE-TT-NVY,ecom,16,6720.0,0.0
2026-W12,SIE-TT-NVY,store,22,9240.0,0.0
2026-W12,SIE-TT-NVY,ecom,17,7140.0,0.0
2026-W13,SIE-TT-NVY,store,23,9660.0,0.0
2026-W13,SIE-TT-NVY,ecom,17,7140.0,0.0
2026-W14,SIE-TT-NVY,store,23,9660.0,0.0
2026-W14,SIE-TT-NVY,ecom,16,6720.0,0.0
2026-W15,SIE-TT-NVY,store,24,10080.0,0.0
2026-W15,SIE-TT-NVY,ecom,17,7140.0,0.0
2026-W16,SIE-TT-NVY,store,24,10080.0,0.0
2026-W16,SIE-TT-NVY,ecom,17,7140.0,0.0
2026-W17,SIE-TT-NVY,store,20,8400.0,0.0
2026-W17,SIE-TT-NVY,ecom,16,6720.0,0.0
2026-W18,SIE-TT-NVY,store,24,10080.0,0.0
2026-W18,SIE-TT-NVY,ecom,17,7140.0,0.0
2026-W19,SIE-TT-NVY,store,24,10080.0,0.0
2026-W19,SIE-TT-NVY,ecom,17,7140.0,0.0
2026-W20,SIE-TT-NVY,store,22,9240.0,0.0
2026-W20,SIE-TT-NVY,ecom,16,6720.0,0.0
2026-W21,SIE-TT-NVY,store,28,10584.0,0.1
2026-W21,SIE-TT-NVY,ecom,19,7182.0,0.1
2026-W22,SIE-TT-NVY,store,24,9072.0,0.1
2026-W22,SIE-TT-NVY,ecom,17,6426.0,0.1
2026-W23,SIE-TT-NVY,store,26,9828.0,0.1
2026-W23,SIE-TT-NVY,ecom,17,6426.0,0.1
2026-W24,SIE-TT-NVY,store,26,9828.0,0.1
2026-W24,SIE-TT-NVY,ecom,19,7182.0,0.1
2026-W25,SIE-TT-NVY,store,28,10584.0,0.1
2026-W25,SIE-TT-NVY,ecom,20,7560.0,0.1
2026-W26,SIE-TT-NVY,store,23,8694.0,0.1
2026-W26,SIE-TT-NVY,ecom,18,6804.0,0.1
2026-W27,SIE-TT-NVY,store,24,10080.0,0.0
2026-W27,SIE-TT-NVY,ecom,18,7560.0,0.0
2026-W28,SIE-TT-NVY,store,22,9240.0,0.0
2026-W28,SIE-TT-NVY,ecom,17,7140.0,0.0
2026-W29,SIE-TT-NVY,store,23,9660.0,0.0
2026-W29,SIE-TT-NVY,ecom,16,6720.0,0.0
2026-W30,SIE-TT-NVY,store,22,9240.0,0.0
2026-W30,SIE-TT-NVY,ecom,18,7560.0,0.0
2026-W31,SIE-TT-NVY,store,19,7980.0,0.0
2026-W31,SIE-TT-NVY,ecom,16,6720.0,0.0
2026-W06,PIP-CL-BLK,store,26,5720.0,0.0
2026-W06,PIP-CL-BLK,ecom,18,3960.0,0.0
2026-W07,PIP-CL-BLK,store,27,5940.0,0.0
2026-W07,PIP-CL-BLK,ecom,20,4400.0,0.0
2026-W08,PIP-CL-BLK,store,29,6380.0,0.0
2026-W08,PIP-CL-BLK,ecom,20,4400.0,0.0
2026-W09,PIP-CL-BLK,store,27,5940.0,0.0
2026-W09,PIP-CL-BLK,ecom,19,4180.0,0.0
2026-W10,PIP-CL-BLK,store,28,6160.0,0.0
2026-W10,PIP-CL-BLK,ecom,18,3960.0,0.0
2026-W11,PIP-CL-BLK,store,23,5060.0,0.0
2026-W11,PIP-CL-BLK,ecom,18,3960.0,0.0
2026-W12,PIP-CL-BLK,store,28,6160.0,0.0
2026-W12,PIP-CL-BLK,ecom,19,4180.0,0.0
2026-W13,PIP-CL-BLK,store,25,5500.0,0.0
2026-W13,PIP-CL-BLK,ecom,19,4180.0,0.0
2026-W14,PIP-CL-BLK,store,29,6380.0,0.0
2026-W14,PIP-CL-BLK,ecom,19,4180.0,0.0
2026-W15,PIP-CL-BLK,store,29,6380.0,0.0
2026-W15,PIP-CL-BLK,ecom,18,3960.0,0.0
2026-W16,PIP-CL-BLK,store,27,5940.0,0.0
2026-W16,PIP-CL-BLK,ecom,21,4620.0,0.0
2026-W17,PIP-CL-BLK,store,30,6600.0,0.0
2026-W17,PIP-CL-BLK,ecom,21,4620.0,0.0
2026-W18,PIP-CL-BLK,store,25,5500.0,0.0
2026-W18,PIP-CL-BLK,ecom,16,3520.0,0.0
2026-W19,PIP-CL-BLK,store,25,5500.0,0.0
2026-W19,PIP-CL-BLK,ecom,19,4180.0,0.0
2026-W20,PIP-CL-BLK,store,26,5720.0,0.0
2026-W20,PIP-CL-BLK,ecom,17,3740.0,0.0
2026-W21,PIP-CL-BLK,store,29,5742.0,0.1
2026-W21,PIP-CL-BLK,ecom,21,4158.0,0.1
2026-W22,PIP-CL-BLK,store,31,6138.0,0.1
2026-W22,PIP-CL-BLK,ecom,21,4158.0,0.1
2026-W23,PIP-CL-BLK,store,33,6534.0,0.1
2026-W23,PIP-CL-BLK,ecom,21,4158.0,0.1
2026-W24,PIP-CL-BLK,store,32,6336.0,0.1
2026-W24,PIP-CL-BLK,ecom,21,4158.0,0.1
2026-W25,PIP-CL-BLK,store,30,5940.0,0.1
2026-W25,PIP-CL-BLK,ecom,21,4158.0,0.1
2026-W26,PIP-CL-BLK,store,28,5544.0,0.1
2026-W26,PIP-CL-BLK,ecom,19,3762.0,0.1
2026-W27,PIP-CL-BLK,store,26,5720.0,0.0
2026-W27,PIP-CL-BLK,ecom,17,3740.0,0.0
2026-W28,PIP-CL-BLK,store,25,5500.0,0.0
2026-W28,PIP-CL-BLK,ecom,18,3960.0,0.0
2026-W29,PIP-CL-BLK,store,27,5940.0,0.0
2026-W29,PIP-CL-BLK,ecom,17,3740.0,0.0
2026-W30,PIP-CL-BLK,store,27,5940.0,0.0
2026-W30,PIP-CL-BLK,ecom,19,4180.0,0.0
2026-W31,PIP-CL-BLK,store,28,6160.0,0.0
2026-W31,PIP-CL-BLK,ecom,18,3960.0,0.0
2026-W06,PIP-CL-GLD,store,16,3840.0,0.0
2026-W06,PIP-CL-GLD,ecom,12,2880.0,0.0
2026-W07,PIP-CL-GLD,store,15,3600.0,0.0
2026-W07,PIP-CL-GLD,ecom,11,2640.0,0.0
2026-W08,PIP-CL-GLD,store,18,4320.0,0.0
2026-W08,PIP-CL-GLD,ecom,13,3120.0,0.0
2026-W09,PIP-CL-GLD,store,17,4080.0,0.0
2026-W09,PIP-CL-GLD,ecom,14,3360.0,0.0
2026-W10,PIP-CL-GLD,store,17,4080.0,0.0
2026-W10,PIP-CL-GLD,ecom,12,2880.0,0.0
2026-W11,PIP-CL-GLD,store,14,3360.0,0.0
2026-W11,PIP-CL-GLD,ecom,11,2640.0,0.0
2026-W12,PIP-CL-GLD,store,15,3600.0,0.0
2026-W12,PIP-CL-GLD,ecom,11,2640.0,0.0
2026-W13,PIP-CL-GLD,store,17,4080.0,0.0
2026-W13,PIP-CL-GLD,ecom,11,2640.0,0.0
2026-W14,PIP-CL-GLD,store,16,3840.0,0.0
2026-W14,PIP-CL-GLD,ecom,11,2640.0,0.0
2026-W15,PIP-CL-GLD,store,15,3600.0,0.0
2026-W15,PIP-CL-GLD,ecom,11,2640.0,0.0
2026-W16,PIP-CL-GLD,store,15,3600.0,0.0
2026-W16,PIP-CL-GLD,ecom,11,2640.0,0.0
2026-W17,PIP-CL-GLD,store,16,3840.0,0.0
2026-W17,PIP-CL-GLD,ecom,12,2880.0,0.0
2026-W18,PIP-CL-GLD,store,15,3600.0,0.0
2026-W18,PIP-CL-GLD,ecom,11,2640.0,0.0
2026-W19,PIP-CL-GLD,store,15,3600.0,0.0
2026-W19,PIP-CL-GLD,ecom,10,2400.0,0.0
2026-W20,PIP-CL-GLD,store,17,4080.0,0.0
2026-W20,PIP-CL-GLD,ecom,12,2880.0,0.0
2026-W21,PIP-CL-GLD,store,20,4320.0,0.1
2026-W21,PIP-CL-GLD,ecom,14,3024.0,0.1
2026-W22,PIP-CL-GLD,store,19,4104.0,0.1
2026-W22,PIP-CL-GLD,ecom,13,2808.0,0.1
