week,sku,units_on_hand
2026-W06,PIP-CL-GLD,161
2026-W07,PIP-CL-GLD,135
2026-W08,PIP-CL-GLD,104
2026-W09,PIP-CL-GLD,73
2026-W10,PIP-CL-GLD,44
2026-W11,PIP-CL-GLD,156
2026-W12,PIP-CL-GLD,130
2026-W13,PIP-CL-GLD,102
2026-W14,PIP-CL-GLD,75
2026-W15,PIP-CL-GLD,49
2026-W16,PIP-CL-GLD,23
2026-W17,PIP-CL-GLD,135
2026-W18,PIP-CL-GLD,109
2026-W19,PIP-CL-GLD,84
2026-W20,PIP-CL-GLD,55
2026-W21,PIP-CL-GLD,21
2026-W22,PIP-CL-GLD,132
2026-W23,PIP-CL-GLD,102
2026-W24,PIP-CL-GLD,69
2026-W25,PIP-CL-GLD,36
2026-W26,PIP-CL-GLD,133
2026-W27,PIP-CL-GLD,105
2026-W28,PIP-CL-GLD,78
2026-W29,PIP-CL-GLD,50
2026-W30,PIP-CL-GLD,24
2026-W31,PIP-CL-GLD,145
2026-W06,AST-BP-BLK,347
2026-W07,AST-BP-BLK,292
2026-W08,AST-BP-BLK,231
2026-W09,AST-BP-BLK,165
2026-W10,AST-BP-BLK,104
2026-W11,AST-BP-BLK,45
2026-W12,AST-BP-BLK,311
2026-W13,AST-BP-BLK,248
2026-W14,AST-BP-BLK,187
2026-W15,AST-BP-BLK,130
2026-W16,AST-BP-BLK,70
2026-W17,AST-BP-BLK,285
2026-W18,AST-BP-BLK,229
2026-W19,AST-BP-BLK,173
2026-W20,AST-BP-BLK,117
2026-W21,AST-BP-BLK,53
2026-W22,AST-BP-BLK,293
2026-W23,AST-BP-BLK,227
2026-W24,AST-BP-BLK,162
2026-W25,AST-BP-BLK,89
2026-W26,AST-BP-BLK,27
2026-W27,AST-BP-BLK,306
2026-W28,AST-BP-BLK,250
2026-W29,AST-BP-BLK,194
2026-W30,AST-BP-BLK,139
2026-W31,AST-BP-BLK,78
2026-W06,AST-BP-GRY,201
2026-W07,AST-BP-GRY,170
2026-W08,AST-BP-GRY,137
2026-W09,AST-BP-GRY,97
2026-W10,AST-BP-GRY,57
2026-W11,AST-BP-GRY,22
2026-W12,AST-BP-GRY,181
2026-W13,AST-BP-GRY,148
2026-W14,AST-BP-GRY,113
2026-W15,AST-BP-GRY,76
2026-W16,AST-BP-GRY,38
2026-W17,AST-BP-GRY,167
2026-W18,AST-BP-GRY,133
2026-W19,AST-BP-GRY,99
2026-W20,AST-BP-GRY,63
2026-W21,AST-BP-GRY,20
2026-W22,AST-BP-GRY,171
2026-W23,AST-BP-GRY,130
2026-W24,AST-BP-GRY,89
2026-W25,AST-BP-GRY,50
2026-W26,AST-BP-GRY,170
2026-W27,AST-BP-GRY,137
2026-W28,AST-BP-GRY,100
2026-W29,AST-BP-GRY,62
2026-W30,AST-BP-GRY,25
2026-W31,AST-BP-GRY,182
2026-W06,JUN-BK-TAN,286
2026-W07,JUN-BK-TAN,237
2026-W08,JUN-BK-TAN,191
2026-W09,JUN-BK-TAN,143
2026-W10,JUN-BK-TAN,91
2026-W11,JUN-BK-TAN,40
2026-W12,JUN-BK-TAN,251
2026-W13,JUN-BK-TAN,205
2026-W14,JUN-BK-TAN,161
2026-W15,JUN-BK-TAN,116
2026-W16,JUN-BK-TAN,71
2026-W17,JUN-BK-TAN,233
2026-W18,JUN-BK-TAN,183
2026-W19,JUN-BK-TAN,136
2026-W20,JUN-BK-TAN,91
2026-W21,JUN-BK-TAN,30
2026-W22,JUN-BK-TAN,234
2026-W23,JUN-BK-TAN,176
2026-W24,JUN-BK-TAN,124
2026-W25,JUN-BK-TAN,66
2026-W26,JUN-BK-TAN,7
2026-W27,JUN-BK-TAN,238
2026-W28,JUN-BK-TAN,192
2026-W29,JUN-BK-TAN,145
2026-W30,JUN-BK-TAN,100
2026-W31,JUN-BK-TAN,55
2026-W06,JUN-BK-BLK,311
2026-W07,JUN-BK-BLK,259
2026-W08,JUN-BK-BLK,208
2026-W09,JUN-BK-BLK,153
2026-W10,JUN-BK-BLK,96
2026-W11,JUN-BK-BLK,44
2026-W12,JUN-BK-BLK,281
2026-W13,JUN-BK-BLK,228
2026-W14,JUN-BK-BLK,172
2026-W15,JUN-BK-BLK,121
2026-W16,JUN-BK-BLK,70
2026-W17,JUN-BK-BLK,259
2026-W18,JUN-BK-BLK,210
2026-W19,JUN-BK-BLK,157
2026-W20,JUN-BK-BLK,84
2026-W21,JUN-BK-BLK,0
2026-W22,JUN-BK-BLK,213
2026-W23,JUN-BK-BLK,128
2026-W24,JUN-BK-BLK,43
2026-W25,JUN-BK-BLK,187
2026-W26,JUN-BK-BLK,106
2026-W27,JUN-BK-BLK,32
2026-W28,JUN-BK-BLK,214
2026-W29,JUN-BK-BLK,141
2026-W30,JUN-BK-BLK,78
2026-W31,JUN-BK-BLK,12
2026-W06,ELL-MN-BLK,380
2026-W07,ELL-MN-BLK,319
2026-W08,ELL-MN-BLK,251
2026-W09,ELL-MN-BLK,185
2026-W10,ELL-MN-BLK,124
2026-W11,ELL-MN-BLK,64
2026-W12,ELL-MN-BLK,337
2026-W13,ELL-MN-BLK,270
2026-W14,ELL-MN-BLK,212
2026-W15,ELL-MN-BLK,143
2026-W16,ELL-MN-BLK,83
2026-W17,ELL-MN-BLK,319
2026-W18,ELL-MN-BLK,260
2026-W19,ELL-MN-BLK,201
2026-W20,ELL-MN-BLK,156
2026-W21,ELL-MN-BLK,107
2026-W22,ELL-MN-BLK,366
2026-W23,ELL-MN-BLK,317
2026-W24,ELL-MN-BLK,268
2026-W25,ELL-MN-BLK,219
2026-W26,ELL-MN-BLK,171
2026-W27,ELL-MN-BLK,124
2026-W28,ELL-MN-BLK,79
2026-W29,ELL-MN-BLK,347
2026-W30,ELL-MN-BLK,303
2026-W31,ELL-MN-BLK,260
2026-W06,ELL-MN-PNK,187
2026-W07,ELL-MN-PNK,157
2026-W08,ELL-MN-PNK,124
2026-W09,ELL-MN-PNK,88
2026-W10,ELL-MN-PNK,57
2026-W11,ELL-MN-PNK,27
2026-W12,ELL-MN-PNK,164
2026-W13,ELL-MN-PNK,134
2026-W14,ELL-MN-PNK,105
2026-W15,ELL-MN-PNK,74
2026-W16,ELL-MN-PNK,43
2026-W17,ELL-MN-PNK,155
2026-W18,ELL-MN-PNK,123
2026-W19,ELL-MN-PNK,95
2026-W20,ELL-MN-PNK,63
2026-W21,ELL-MN-PNK,23
2026-W22,ELL-MN-PNK,153
2026-W23,ELL-MN-PNK,115
2026-W24,ELL-MN-PNK,77
2026-W25,ELL-MN-PNK,39
2026-W26,ELL-MN-PNK,151
2026-W27,ELL-MN-PNK,121
2026-W28,ELL-MN-PNK,90
2026-W29,ELL-MN-PNK,60
2026-W30,ELL-MN-PNK,29
2026-W31,ELL-MN-PNK,163
2026-W06,NAD-LF-BLK-35,361
2026-W07,NAD-LF-BLK-35,353
2026-W08,NAD-LF-BLK-35,345
2026-W09,NAD-LF-BLK-35,335
2026-W10,NAD-LF-BLK-35,326
2026-W11,NAD-LF-BLK-35,318
2026-W12,NAD-LF-BLK-35,310
2026-W13,NAD-LF-BLK-35,302
2026-W14,NAD-LF-BLK-35,294
2026-W15,NAD-LF-BLK-35,286
2026-W16,NAD-LF-BLK-35,277
2026-W17,NAD-LF-BLK-35,268
2026-W18,NAD-LF-BLK-35,260
2026-W19,NAD-LF-BLK-35,252
2026-W20,NAD-LF-BLK-35,244
2026-W21,NAD-LF-BLK-35,234
2026-W22,NAD-LF-BLK-35,224
2026-W23,NAD-LF-BLK-35,215
2026-W24,NAD-LF-BLK-35,206
2026-W25,NAD-LF-BLK-35,197
2026-W26,NAD-LF-BLK-35,187
2026-W27,NAD-LF-BLK-35,178
2026-W28,NAD-LF-BLK-35,170
2026-W29,NAD-LF-BLK-35,162
2026-W30,NAD-LF-BLK-35,154
2026-W31,NAD-LF-BLK-35,146
2026-W06,NAD-LF-BLK-36,109
2026-W07,NAD-LF-BLK-36,92
2026-W08,NAD-LF-BLK-36,74
2026-W09,NAD-LF-BLK-36,55
2026-W10,NAD-LF-BLK-36,36
2026-W11,NAD-LF-BLK-36,18
2026-W12,NAD-LF-BLK-36,95
2026-W13,NAD-LF-BLK-36,77
2026-W14,NAD-LF-BLK-36,59
2026-W15,NAD-LF-BLK-36,41
2026-W16,NAD-LF-BLK-36,21
2026-W17,NAD-LF-BLK-36,86
2026-W18,NAD-LF-BLK-36,67
2026-W19,NAD-LF-BLK-36,49
2026-W20,NAD-LF-BLK-36,30
2026-W21,NAD-LF-BLK-36,9
2026-W22,NAD-LF-BLK-36,0
2026-W23,NAD-LF-BLK-36,0
2026-W24,NAD-LF-BLK-36,0
2026-W25,NAD-LF-BLK-36,0
2026-W26,NAD-LF-BLK-36,0
2026-W27,NAD-LF-BLK-36,0
2026-W28,NAD-LF-BLK-36,0
2026-W29,NAD-LF-BLK-36,0
2026-W30,NAD-LF-BLK-36,0
2026-W31,NAD-LF-BLK-36,0
2026-W06,NAD-LF-BLK-37,129
2026-W07,NAD-LF-BLK-37,109
2026-W08,NAD-LF-BLK-37,85
2026-W09,NAD-LF-BLK-37,62
2026-W10,NAD-LF-BLK-37,39
2026-W11,NAD-LF-BLK-37,17
2026-W12,NAD-LF-BLK-37,113
2026-W13,NAD-LF-BLK-37,91
2026-W14,NAD-LF-BLK-37,68
2026-W15,NAD-LF-BLK-37,48
2026-W16,NAD-LF-BLK-37,25
2026-W17,NAD-LF-BLK-37,104
2026-W18,NAD-LF-BLK-37,83
2026-W19,NAD-LF-BLK-37,63
2026-W20,NAD-LF-BLK-37,42
2026-W21,NAD-LF-BLK-37,14
2026-W22,NAD-LF-BLK-37,0
2026-W23,NAD-LF-BLK-37,0
2026-W24,NAD-LF-BLK-37,0
2026-W25,NAD-LF-BLK-37,0
2026-W26,NAD-LF-BLK-37,0
2026-W27,NAD-LF-BLK-37,0
2026-W28,NAD-LF-BLK-37,0
2026-W29,NAD-LF-BLK-37,0
2026-W30,NAD-LF-BLK-37,0
2026-W31,NAD-LF-BLK-37,0
2026-W06,NAD-LF-BLK-38,108
2026-W07,NAD-LF-BLK-38,89
2026-W08,NAD-LF-BLK-38,72
2026-W09,NAD-LF-BLK-38,51
2026-W10,NAD-LF-BLK-38,30
2026-W11,NAD-LF-BLK-38,11
2026-W12,NAD-LF-BLK-38,98
2026-W13,NAD-LF-BLK-38,80
2026-W14,NAD-LF-BLK-38,63
2026-W15,NAD-LF-BLK-38,46
2026-W16,NAD-LF-BLK-38,25
2026-W17,NAD-LF-BLK-38,4
2026-W18,NAD-LF-BLK-38,94
2026-W19,NAD-LF-BLK-38,74
2026-W20,NAD-LF-BLK-38,53
2026-W21,NAD-LF-BLK-38,31
2026-W22,NAD-LF-BLK-38,8
2026-W23,NAD-LF-BLK-38,0
2026-W24,NAD-LF-BLK-38,0
2026-W25,NAD-LF-BLK-38,0
2026-W26,NAD-LF-BLK-38,0
2026-W27,NAD-LF-BLK-38,0
2026-W28,NAD-LF-BLK-38,0
2026-W29,NAD-LF-BLK-38,0
2026-W30,NAD-LF-BLK-38,0
2026-W31,NAD-LF-BLK-38,0
2026-W06,NAD-LF-BLK-39,506
2026-W07,NAD-LF-BLK-39,494
2026-W08,NAD-LF-BLK-39,482
2026-W09,NAD-LF-BLK-39,469
2026-W10,NAD-LF-BLK-39,457
2026-W11,NAD-LF-BLK-39,445
2026-W12,NAD-LF-BLK-39,434
2026-W13,NAD-LF-BLK-39,422
2026-W14,NAD-LF-BLK-39,412
2026-W15,NAD-LF-BLK-39,400
2026-W16,NAD-LF-BLK-39,388
2026-W17,NAD-LF-BLK-39,375
2026-W18,NAD-LF-BLK-39,363
2026-W19,NAD-LF-BLK-39,351
2026-W20,NAD-LF-BLK-39,339
2026-W21,NAD-LF-BLK-39,324
2026-W22,NAD-LF-BLK-39,312
2026-W23,NAD-LF-BLK-39,299
2026-W24,NAD-LF-BLK-39,284
2026-W25,NAD-LF-BLK-39,270
2026-W26,NAD-LF-BLK-39,257
2026-W27,NAD-LF-BLK-39,246
2026-W28,NAD-LF-BLK-39,233
2026-W29,NAD-LF-BLK-39,220
2026-W30,NAD-LF-BLK-39,208
2026-W31,NAD-LF-BLK-39,196
2026-W06,NAD-LF-BLK-40,216
2026-W07,NAD-LF-BLK-40,211
2026-W08,NAD-LF-BLK-40,206
2026-W09,NAD-LF-BLK-40,201
2026-W10,NAD-LF-BLK-40,195
2026-W11,NAD-LF-BLK-40,190
2026-W12,NAD-LF-BLK-40,185
2026-W13,NAD-LF-BLK-40,180
2026-W14,NAD-LF-BLK-40,176
2026-W15,NAD-LF-BLK-40,171
2026-W16,NAD-LF-BLK-40,165
2026-W17,NAD-LF-BLK-40,160
2026-W18,NAD-LF-BLK-40,155
2026-W19,NAD-LF-BLK-40,150
2026-W20,NAD-LF-BLK-40,145
2026-W21,NAD-LF-BLK-40,138
2026-W22,NAD-LF-BLK-40,133
2026-W23,NAD-LF-BLK-40,127
2026-W24,NAD-LF-BLK-40,121
2026-W25,NAD-LF-BLK-40,115
2026-W26,NAD-LF-BLK-40,110
2026-W27,NAD-LF-BLK-40,105
2026-W28,NAD-LF-BLK-40,100
2026-W29,NAD-LF-BLK-40,95
2026-W30,NAD-LF-BLK-40,90
2026-W31,NAD-LF-BLK-40,85
2026-W06,NAD-LF-TAN-35,255
2026-W07,NAD-LF-TAN-35,249
2026-W08,NAD-LF-TAN-35,242
2026-W09,NAD-LF-TAN-35,236
2026-W10,NAD-LF-TAN-35,230
2026-W11,NAD-LF-TAN-35,224
2026-W12,NAD-LF-TAN-35,218
2026-W13,NAD-LF-TAN-35,212
2026-W14,NAD-LF-TAN-35,207
2026-W15,NAD-LF-TAN-35,202
2026-W16,NAD-LF-TAN-35,196
2026-W17,NAD-LF-TAN-35,189
2026-W18,NAD-LF-TAN-35,184
2026-W19,NAD-LF-TAN-35,178
2026-W20,NAD-LF-TAN-35,171
2026-W21,NAD-LF-TAN-35,165
2026-W22,NAD-LF-TAN-35,159
2026-W23,NAD-LF-TAN-35,152
2026-W24,NAD-LF-TAN-35,144
2026-W25,NAD-LF-TAN-35,137
2026-W26,NAD-LF-TAN-35,130
2026-W27,NAD-LF-TAN-35,125
2026-W28,NAD-LF-TAN-35,119
2026-W29,NAD-LF-TAN-35,112
2026-W30,NAD-LF-TAN-35,107
2026-W31,NAD-LF-TAN-35,102
2026-W06,NAD-LF-TAN-36,76
2026-W07,NAD-LF-TAN-36,64
2026-W08,NAD-LF-TAN-36,52
2026-W09,NAD-LF-TAN-36,37
2026-W10,NAD-LF-TAN-36,22
2026-W11,NAD-LF-TAN-36,9
2026-W12,NAD-LF-TAN-36,68
2026-W13,NAD-LF-TAN-36,54
2026-W14,NAD-LF-TAN-36,41
2026-W15,NAD-LF-TAN-36,28
2026-W16,NAD-LF-TAN-36,14
2026-W17,NAD-LF-TAN-36,62
2026-W18,NAD-LF-TAN-36,50
2026-W19,NAD-LF-TAN-36,38
2026-W20,NAD-LF-TAN-36,24
2026-W21,NAD-LF-TAN-36,10
2026-W22,NAD-LF-TAN-36,0
2026-W23,NAD-LF-TAN-36,0
2026-W24,NAD-LF-TAN-36,0
2026-W25,NAD-LF-TAN-36,0
2026-W26,NAD-LF-TAN-36,0
2026-W27,NAD-LF-TAN-36,0
2026-W28,NAD-LF-TAN-36,0
2026-W29,NAD-LF-TAN-36,0
2026-W30,NAD-LF-TAN-36,0
2026-W31,NAD-LF-TAN-36,0
2026-W06,NAD-LF-TAN-37,92
2026-W07,NAD-LF-TAN-37,77
2026-W08,NAD-LF-TAN-37,63
2026-W09,NAD-LF-TAN-37,48
2026-W10,NAD-LF-TAN-37,31
2026-W11,NAD-LF-TAN-37,16
2026-W12,NAD-LF-TAN-37,82
2026-W13,NAD-LF-TAN-37,68
2026-W14,NAD-LF-TAN-37,53
2026-W15,NAD-LF-TAN-37,38
2026-W16,NAD-LF-TAN-37,23
2026-W17,NAD-LF-TAN-37,8
2026-W18,NAD-LF-TAN-37,80
2026-W19,NAD-LF-TAN-37,64
2026-W20,NAD-LF-TAN-37,49
2026-W21,NAD-LF-TAN-37,32
2026-W22,NAD-LF-TAN-37,16
2026-W23,NAD-LF-TAN-37,0
2026-W24,NAD-LF-TAN-37,0
2026-W25,NAD-LF-TAN-37,0
2026-W26,NAD-LF-TAN-37,0
2026-W27,NAD-LF-TAN-37,0
2026-W28,NAD-LF-TAN-37,0
2026-W29,NAD-LF-TAN-37,0
2026-W30,NAD-LF-TAN-37,0
2026-W31,NAD-LF-TAN-37,0
2026-W06,NAD-LF-TAN-38,77
2026-W07,NAD-LF-TAN-38,64
2026-W08,NAD-LF-TAN-38,51
2026-W09,NAD-LF-TAN-38,36
2026-W10,NAD-LF-TAN-38,22
2026-W11,NAD-LF-TAN-38,8
2026-W12,NAD-LF-TAN-38,67
2026-W13,NAD-LF-TAN-38,54
2026-W14,NAD-LF-TAN-38,41
2026-W15,NAD-LF-TAN-38,28
2026-W16,NAD-LF-TAN-38,14
2026-W17,NAD-LF-TAN-38,63
2026-W18,NAD-LF-TAN-38,51
2026-W19,NAD-LF-TAN-38,37
2026-W20,NAD-LF-TAN-38,23
2026-W21,NAD-LF-TAN-38,9
2026-W22,NAD-LF-TAN-38,0
2026-W23,NAD-LF-TAN-38,0
2026-W24,NAD-LF-TAN-38,0
2026-W25,NAD-LF-TAN-38,0
2026-W26,NAD-LF-TAN-38,0
2026-W27,NAD-LF-TAN-38,0
2026-W28,NAD-LF-TAN-38,0
2026-W29,NAD-LF-TAN-38,0
2026-W30,NAD-LF-TAN-38,0
2026-W31,NAD-LF-TAN-38,0
2026-W06,NAD-LF-TAN-39,357
2026-W07,NAD-LF-TAN-39,348
2026-W08,NAD-LF-TAN-39,340
2026-W09,NAD-LF-TAN-39,331
2026-W10,NAD-LF-TAN-39,322
2026-W11,NAD-LF-TAN-39,315
2026-W12,NAD-LF-TAN-39,306
2026-W13,NAD-LF-TAN-39,298
2026-W14,NAD-LF-TAN-39,290
2026-W15,NAD-LF-TAN-39,282
2026-W16,NAD-LF-TAN-39,274
2026-W17,NAD-LF-TAN-39,266
2026-W18,NAD-LF-TAN-39,258
2026-W19,NAD-LF-TAN-39,250
2026-W20,NAD-LF-TAN-39,242
2026-W21,NAD-LF-TAN-39,232
2026-W22,NAD-LF-TAN-39,222
2026-W23,NAD-LF-TAN-39,213
2026-W24,NAD-LF-TAN-39,204
2026-W25,NAD-LF-TAN-39,193
2026-W26,NAD-LF-TAN-39,183
2026-W27,NAD-LF-TAN-39,175
2026-W28,NAD-LF-TAN-39,166
2026-W29,NAD-LF-TAN-39,158
2026-W30,NAD-LF-TAN-39,150
2026-W31,NAD-LF-TAN-39,142
2026-W06,NAD-LF-TAN-40,154
2026-W07,NAD-LF-TAN-40,151
2026-W08,NAD-LF-TAN-40,147
2026-W09,NAD-LF-TAN-40,143
2026-W10,NAD-LF-TAN-40,139
2026-W11,NAD-LF-TAN-40,136
2026-W12,NAD-LF-TAN-40,132
2026-W13,NAD-LF-TAN-40,128
2026-W14,NAD-LF-TAN-40,125
2026-W15,NAD-LF-TAN-40,122
2026-W16,NAD-LF-TAN-40,118
2026-W17,NAD-LF-TAN-40,114
2026-W18,NAD-LF-TAN-40,110
2026-W19,NAD-LF-TAN-40,106
2026-W20,NAD-LF-TAN-40,102
2026-W21,NAD-LF-TAN-40,98
2026-W22,NAD-LF-TAN-40,94
2026-W23,NAD-LF-TAN-40,90
2026-W24,NAD-LF-TAN-40,85
2026-W25,NAD-LF-TAN-40,81
2026-W26,NAD-LF-TAN-40,77
2026-W27,NAD-LF-TAN-40,73
2026-W28,NAD-LF-TAN-40,69
2026-W29,NAD-LF-TAN-40,66
2026-W30,NAD-LF-TAN-40,62
2026-W31,NAD-LF-TAN-40,58
2026-W06,VER-HL-BLK-35,33
2026-W07,VER-HL-BLK-35,28
2026-W08,VER-HL-BLK-35,22
