week,sku,units_returned,reason
2026-W20,JUN-BK-BLK,6,colour differs
2026-W22,JUN-BK-BLK,7,changed mind
2026-W23,JUN-BK-BLK,5,changed mind
2026-W24,JUN-BK-BLK,4,colour differs
2026-W27,JUN-BK-BLK,4,changed mind
2026-W28,JUN-BK-BLK,4,colour differs
2026-W30,JUN-BK-BLK,4,colour differs
2026-W31,JUN-BK-BLK,4,changed mind
2026-W08,ELL-MN-BLK,5,colour differs
2026-W09,ELL-MN-BLK,4,colour differs
2026-W10,ELL-MN-BLK,4,changed mind
2026-W11,ELL-MN-BLK,4,changed mind
2026-W14,ELL-MN-BLK,4,colour differs
2026-W17,ELL-MN-BLK,5,colour differs
2026-W18,ELL-MN-BLK,5,colour differs
2026-W19,ELL-MN-BLK,4,changed mind
2026-W23,ELL-MN-BLK,4,changed mind
2026-W25,ELL-MN-BLK,4,colour differs
2026-W27,ELL-MN-BLK,3,changed mind
2026-W06,ELL-MN-PNK,1,changed mind
2026-W07,ELL-MN-PNK,2,changed mind
2026-W08,ELL-MN-PNK,2,colour differs
2026-W12,ELL-MN-PNK,2,changed mind
2026-W13,ELL-MN-PNK,2,changed mind
2026-W16,ELL-MN-PNK,3,colour differs
2026-W19,ELL-MN-PNK,2,colour differs
2026-W22,ELL-MN-PNK,2,changed mind
2026-W24,ELL-MN-PNK,3,changed mind
2026-W27,ELL-MN-PNK,3,changed mind
2026-W30,ELL-MN-PNK,2,changed mind
2026-W06,NAD-LF-BLK-35,1,sizing
2026-W09,NAD-LF-BLK-35,1,sizing
2026-W10,NAD-LF-BLK-35,1,sizing
2026-W11,NAD-LF-BLK-35,1,sizing
2026-W15,NAD-LF-BLK-35,1,sizing
2026-W16,NAD-LF-BLK-35,1,sizing
2026-W21,NAD-LF-BLK-35,1,sizing
2026-W25,NAD-LF-BLK-35,1,sizing
2026-W26,NAD-LF-BLK-35,1,sizing
2026-W27,NAD-LF-BLK-35,2,sizing
2026-W31,NAD-LF-BLK-35,1,sizing
2026-W10,NAD-LF-BLK-36,2,sizing
2026-W11,NAD-LF-BLK-36,3,sizing
2026-W14,NAD-LF-BLK-36,2,sizing
2026-W15,NAD-LF-BLK-36,3,sizing
2026-W18,NAD-LF-BLK-36,3,sizing
2026-W22,NAD-LF-BLK-36,1,sizing
2026-W08,NAD-LF-BLK-37,4,sizing
2026-W10,NAD-LF-BLK-37,3,sizing
2026-W14,NAD-LF-BLK-37,4,sizing
2026-W15,NAD-LF-BLK-37,2,sizing
2026-W16,NAD-LF-BLK-37,2,sizing
2026-W18,NAD-LF-BLK-37,4,sizing
2026-W19,NAD-LF-BLK-37,3,sizing
2026-W07,NAD-LF-BLK-38,3,sizing
2026-W12,NAD-LF-BLK-38,2,sizing
2026-W14,NAD-LF-BLK-38,2,sizing
2026-W16,NAD-LF-BLK-38,3,sizing
2026-W19,NAD-LF-BLK-38,3,sizing
2026-W06,NAD-LF-BLK-39,2,sizing
2026-W07,NAD-LF-BLK-39,2,sizing
2026-W09,NAD-LF-BLK-39,2,sizing
2026-W10,NAD-LF-BLK-39,1,sizing
2026-W12,NAD-LF-BLK-39,1,sizing
2026-W18,NAD-LF-BLK-39,2,sizing
2026-W24,NAD-LF-BLK-39,2,sizing
2026-W25,NAD-LF-BLK-39,2,sizing
2026-W26,NAD-LF-BLK-39,2,sizing
2026-W28,NAD-LF-BLK-39,2,sizing
2026-W29,NAD-LF-BLK-39,2,sizing
2026-W08,NAD-LF-BLK-40,1,sizing
2026-W09,NAD-LF-BLK-40,1,sizing
2026-W15,NAD-LF-BLK-40,1,sizing
2026-W21,NAD-LF-BLK-40,1,sizing
2026-W22,NAD-LF-BLK-40,1,sizing
2026-W27,NAD-LF-BLK-40,1,sizing
2026-W28,NAD-LF-BLK-40,1,sizing
2026-W30,NAD-LF-BLK-40,1,sizing
2026-W31,NAD-LF-BLK-40,1,sizing
2026-W07,NAD-LF-TAN-35,1,sizing
2026-W10,NAD-LF-TAN-35,1,sizing
2026-W12,NAD-LF-TAN-35,1,sizing
2026-W14,NAD-LF-TAN-35,1,sizing
2026-W16,NAD-LF-TAN-35,1,sizing
2026-W18,NAD-LF-TAN-35,1,sizing
2026-W21,NAD-LF-TAN-35,1,sizing
2026-W24,NAD-LF-TAN-35,1,sizing
2026-W25,NAD-LF-TAN-35,1,sizing
2026-W26,NAD-LF-TAN-35,1,sizing
2026-W27,NAD-LF-TAN-35,1,sizing
2026-W29,NAD-LF-TAN-35,1,sizing
2026-W08,NAD-LF-TAN-36,1,sizing
2026-W11,NAD-LF-TAN-36,2,sizing
2026-W12,NAD-LF-TAN-36,2,sizing
2026-W13,NAD-LF-TAN-36,2,sizing
2026-W15,NAD-LF-TAN-36,2,sizing
2026-W16,NAD-LF-TAN-36,2,sizing
2026-W17,NAD-LF-TAN-36,2,sizing
2026-W18,NAD-LF-TAN-36,2,sizing
2026-W19,NAD-LF-TAN-36,2,sizing
2026-W20,NAD-LF-TAN-36,2,sizing
2026-W22,NAD-LF-TAN-36,2,sizing
2026-W07,NAD-LF-TAN-37,2,sizing
2026-W08,NAD-LF-TAN-37,1,sizing
2026-W10,NAD-LF-TAN-37,3,sizing
2026-W11,NAD-LF-TAN-37,2,sizing
2026-W14,NAD-LF-TAN-37,2,sizing
2026-W16,NAD-LF-TAN-37,3,sizing
2026-W17,NAD-LF-TAN-37,1,sizing
2026-W18,NAD-LF-TAN-37,2,sizing
2026-W19,NAD-LF-TAN-37,3,sizing
2026-W21,NAD-LF-TAN-37,2,sizing
2026-W07,NAD-LF-TAN-38,2,sizing
2026-W08,NAD-LF-TAN-38,2,sizing
2026-W09,NAD-LF-TAN-38,3,sizing
2026-W16,NAD-LF-TAN-38,2,sizing
2026-W17,NAD-LF-TAN-38,2,sizing
2026-W19,NAD-LF-TAN-38,2,sizing
2026-W21,NAD-LF-TAN-38,2,sizing
2026-W22,NAD-LF-TAN-38,1,sizing
2026-W07,NAD-LF-TAN-39,2,sizing
2026-W10,NAD-LF-TAN-39,1,sizing
2026-W11,NAD-LF-TAN-39,1,sizing
2026-W12,NAD-LF-TAN-39,2,sizing
2026-W14,NAD-LF-TAN-39,1,sizing
2026-W17,NAD-LF-TAN-39,1,sizing
2026-W18,NAD-LF-TAN-39,1,sizing
2026-W19,NAD-LF-TAN-39,1,sizing
2026-W20,NAD-LF-TAN-39,1,sizing
2026-W21,NAD-LF-TAN-39,1,sizing
2026-W22,NAD-LF-TAN-39,2,sizing
2026-W23,NAD-LF-TAN-39,1,sizing
2026-W27,NAD-LF-TAN-39,1,sizing
2026-W29,NAD-LF-TAN-39,1,sizing
2026-W30,NAD-LF-TAN-39,1,sizing
2026-W19,NAD-LF-TAN-40,1,sizing
2026-W22,NAD-LF-TAN-40,1,sizing
2026-W26,NAD-LF-TAN-40,1,sizing
2026-W28,NAD-LF-TAN-40,1,sizing
2026-W31,NAD-LF-TAN-40,1,sizing
2026-W06,VER-HL-BLK-35,1,sizing
2026-W08,VER-HL-BLK-35,1,sizing
2026-W10,VER-HL-BLK-35,1,sizing
2026-W11,VER-HL-BLK-35,1,sizing
2026-W12,VER-HL-BLK-35,1,sizing
2026-W17,VER-HL-BLK-35,1,sizing
2026-W20,VER-HL-BLK-35,1,sizing
2026-W23,VER-HL-BLK-35,1,sizing
2026-W29,VER-HL-BLK-35,1,sizing
2026-W30,VER-HL-BLK-35,1,sizing
2026-W06,VER-HL-BLK-36,1,sizing
2026-W07,VER-HL-BLK-36,2,sizing
2026-W08,VER-HL-BLK-36,2,sizing
2026-W09,VER-HL-BLK-36,2,sizing
2026-W11,VER-HL-BLK-36,1,sizing
2026-W13,VER-HL-BLK-36,2,sizing
2026-W17,VER-HL-BLK-36,2,sizing
2026-W18,VER-HL-BLK-36,1,sizing
2026-W19,VER-HL-BLK-36,1,sizing
2026-W20,VER-HL-BLK-36,2,sizing
2026-W22,VER-HL-BLK-36,2,sizing
2026-W23,VER-HL-BLK-36,2,sizing
2026-W25,VER-HL-BLK-36,3,sizing
2026-W27,VER-HL-BLK-36,2,sizing
2026-W29,VER-HL-BLK-36,2,sizing
2026-W10,VER-HL-BLK-37,2,sizing
2026-W14,VER-HL-BLK-37,2,sizing
2026-W16,VER-HL-BLK-37,2,sizing
2026-W19,VER-HL-BLK-37,3,sizing
2026-W22,VER-HL-BLK-37,2,sizing
2026-W24,VER-HL-BLK-37,2,sizing
2026-W25,VER-HL-BLK-37,2,sizing
2026-W06,VER-HL-BLK-38,1,sizing
2026-W07,VER-HL-BLK-38,2,sizing
2026-W09,VER-HL-BLK-38,2,sizing
2026-W10,VER-HL-BLK-38,1,sizing
2026-W11,VER-HL-BLK-38,2,sizing
2026-W15,VER-HL-BLK-38,2,sizing
2026-W16,VER-HL-BLK-38,1,sizing
2026-W17,VER-HL-BLK-38,1,sizing
2026-W19,VER-HL-BLK-38,2,sizing
2026-W20,VER-HL-BLK-38,1,sizing
2026-W23,VER-HL-BLK-38,2,sizing
2026-W24,VER-HL-BLK-38,2,sizing
2026-W25,VER-HL-BLK-38,1,sizing
2026-W26,VER-HL-BLK-38,2,sizing
2026-W28,VER-HL-BLK-38,1,sizing
2026-W29,VER-HL-BLK-38,1,sizing
2026-W07,VER-HL-BLK-39,1,sizing
2026-W08,VER-HL-BLK-39,1,sizing
2026-W09,VER-HL-BLK-39,1,sizing
2026-W12,VER-HL-BLK-39,1,sizing
2026-W16,VER-HL-BLK-39,1,sizing
2026-W17,VER-HL-BLK-39,1,sizing
2026-W19,VER-HL-BLK-39,1,sizing
2026-W20,VER-HL-BLK-39,1,sizing
2026-W22,VER-HL-BLK-39,1,sizing
2026-W25,VER-HL-BLK-39,1,sizing
2026-W29,VER-HL-BLK-39,1,sizing
2026-W31,VER-HL-BLK-39,1,sizing
2026-W26,VER-HL-BLK-40,1,sizing
2026-W29,VER-HL-BLK-40,1,sizing
2026-W06,VER-HL-RED-35,1,sizing
2026-W21,VER-HL-RED-35,1,sizing
2026-W07,VER-HL-RED-36,1,sizing
2026-W11,VER-HL-RED-36,1,sizing
2026-W17,VER-HL-RED-36,1,sizing
2026-W18,VER-HL-RED-36,1,sizing
2026-W20,VER-HL-RED-36,1,sizing
2026-W25,VER-HL-RED-36,1,sizing
2026-W28,VER-HL-RED-36,1,sizing
2026-W29,VER-HL-RED-36,1,sizing
2026-W30,VER-HL-RED-36,1,sizing
2026-W31,VER-HL-RED-36,1,sizing
2026-W06,VER-HL-RED-37,1,sizing
2026-W08,VER-HL-RED-37,1,sizing
2026-W14,VER-HL-RED-37,1,sizing
2026-W15,VER-HL-RED-37,1,sizing
2026-W18,VER-HL-RED-37,1,sizing
2026-W19,VER-HL-RED-37,1,sizing
2026-W21,VER-HL-RED-37,1,sizing
2026-W23,VER-HL-RED-37,1,sizing
2026-W24,VER-HL-RED-37,1,sizing
2026-W26,VER-HL-RED-37,1,sizing
2026-W29,VER-HL-RED-37,1,sizing
2026-W31,VER-HL-RED-37,1,sizing
2026-W07,VER-HL-RED-38,1,sizing
2026-W08,VER-HL-RED-38,1,sizing
2026-W10,VER-HL-RED-38,1,sizing
2026-W11,VER-HL-RED-38,1,sizing
2026-W12,VER-HL-RED-38,1,sizing
2026-W13,VER-HL-RED-38,1,sizing
2026-W14,VER-HL-RED-38,1,sizing
2026-W16,VER-HL-RED-38,1,sizing
2026-W17,VER-HL-RED-38,1,sizing
2026-W20,VER-HL-RED-38,1,sizing
2026-W21,VER-HL-RED-38,1,sizing
2026-W22,VER-HL-RED-38,1,sizing
2026-W26,VER-HL-RED-38,1,sizing
2026-W30,VER-HL-RED-38,1,sizing
2026-W31,VER-HL-RED-38,1,sizing
2026-W08,VER-HL-RED-39,1,sizing
2026-W09,VER-HL-RED-39,1,sizing
2026-W13,VER-HL-RED-39,1,sizing
2026-W15,VER-HL-RED-39,1,sizing
2026-W17,VER-HL-RED-39,1,sizing
2026-W23,VER-HL-RED-39,1,sizing
2026-W26,VER-HL-RED-39,1,sizing
2026-W28,VER-HL-RED-39,1,sizing
2026-W18,CLE-SD-TAN-35,1,sizing
2026-W21,CLE-SD-TAN-35,1,sizing
2026-W25,CLE-SD-TAN-35,1,sizing
2026-W29,CLE-SD-TAN-35,1,sizing
2026-W10,CLE-SD-TAN-36,2,sizing
2026-W12,CLE-SD-TAN-36,3,sizing
2026-W21,CLE-SD-TAN-36,3,sizing
2026-W25,CLE-SD-TAN-36,2,sizing
2026-W07,CLE-SD-TAN-37,3,sizing
2026-W08,CLE-SD-TAN-37,2,sizing
2026-W09,CLE-SD-TAN-37,3,sizing
2026-W10,CLE-SD-TAN-37,3,sizing
2026-W11,CLE-SD-TAN-37,2,sizing
2026-W13,CLE-SD-TAN-37,2,sizing
2026-W15,CLE-SD-TAN-37,3,sizing
2026-W16,CLE-SD-TAN-37,2,sizing
2026-W17,CLE-SD-TAN-37,2,sizing
2026-W19,CLE-SD-TAN-37,3,sizing
2026-W20,CLE-SD-TAN-37,2,sizing
2026-W23,CLE-SD-TAN-37,2,sizing
2026-W24,CLE-SD-TAN-37,3,sizing
2026-W27,CLE-SD-TAN-37,3,sizing
2026-W28,CLE-SD-TAN-37,3,sizing
2026-W29,CLE-SD-TAN-37,2,sizing
2026-W30,CLE-SD-TAN-37,3,sizing
2026-W31,CLE-SD-TAN-37,2,sizing
2026-W07,CLE-SD-TAN-38,2,sizing
2026-W13,CLE-SD-TAN-38,2,sizing
2026-W15,CLE-SD-TAN-38,2,sizing
2026-W18,CLE-SD-TAN-38,2,sizing
2026-W19,CLE-SD-TAN-38,2,sizing
2026-W20,CLE-SD-TAN-38,2,sizing
2026-W21,CLE-SD-TAN-38,2,sizing
2026-W25,CLE-SD-TAN-38,3,sizing
2026-W27,CLE-SD-TAN-38,2,sizing
2026-W29,CLE-SD-TAN-38,2,sizing
2026-W31,CLE-SD-TAN-38,2,sizing
2026-W09,CLE-SD-TAN-39,1,sizing
2026-W12,CLE-SD-TAN-39,1,sizing
2026-W16,CLE-SD-TAN-39,2,sizing
2026-W23,CLE-SD-TAN-39,2,sizing
2026-W24,CLE-SD-TAN-39,2,sizing
2026-W26,CLE-SD-TAN-39,1,sizing
2026-W28,CLE-SD-TAN-39,1,sizing
2026-W30,CLE-SD-TAN-39,1,sizing
2026-W31,CLE-SD-TAN-39,1,sizing
2026-W07,CLE-SD-TAN-40,1,sizing
2026-W17,CLE-SD-TAN-40,1,sizing
2026-W18,CLE-SD-TAN-40,1,sizing
2026-W19,CLE-SD-TAN-40,1,sizing
2026-W23,CLE-SD-TAN-40,1,sizing
2026-W25,CLE-SD-TAN-40,1,sizing
2026-W08,CLE-SD-WHT-35,1,sizing
2026-W09,CLE-SD-WHT-35,1,sizing
2026-W11,CLE-SD-WHT-35,1,sizing
2026-W14,CLE-SD-WHT-35,1,sizing
2026-W22,CLE-SD-WHT-35,1,sizing
2026-W23,CLE-SD-WHT-35,1,sizing
2026-W24,CLE-SD-WHT-35,1,sizing
2026-W25,CLE-SD-WHT-35,1,sizing
2026-W26,CLE-SD-WHT-35,1,sizing
2026-W28,CLE-SD-WHT-35,1,sizing
2026-W29,CLE-SD-WHT-35,1,sizing
2026-W10,CLE-SD-WHT-36,2,sizing
2026-W12,CLE-SD-WHT-36,2,sizing
2026-W16,CLE-SD-WHT-36,1,sizing
2026-W18,CLE-SD-WHT-36,2,sizing
2026-W23,CLE-SD-WHT-36,2,sizing
2026-W26,CLE-SD-WHT-36,2,sizing
2026-W09,CLE-SD-WHT-37,1,sizing
2026-W13,CLE-SD-WHT-37,1,sizing
2026-W16,CLE-SD-WHT-37,2,sizing
2026-W17,CLE-SD-WHT-37,2,sizing
2026-W18,CLE-SD-WHT-37,1,sizing
2026-W19,CLE-SD-WHT-37,1,sizing
2026-W22,CLE-SD-WHT-37,2,sizing
2026-W23,CLE-SD-WHT-37,2,sizing
2026-W24,CLE-SD-WHT-37,2,sizing
2026-W27,CLE-SD-WHT-37,1,sizing
2026-W29,CLE-SD-WHT-37,2,sizing
2026-W06,CLE-SD-WHT-38,2,sizing
2026-W07,CLE-SD-WHT-38,1,sizing
2026-W08,CLE-SD-WHT-38,2,sizing
2026-W09,CLE-SD-WHT-38,1,sizing
2026-W12,CLE-SD-WHT-38,1,sizing
2026-W13,CLE-SD-WHT-38,1,sizing
2026-W15,CLE-SD-WHT-38,1,sizing
2026-W18,CLE-SD-WHT-38,1,sizing
2026-W20,CLE-SD-WHT-38,2,sizing
2026-W22,CLE-SD-WHT-38,1,sizing
2026-W23,CLE-SD-WHT-38,1,sizing
2026-W25,CLE-SD-WHT-38,2,sizing
2026-W26,CLE-SD-WHT-38,1,sizing
2026-W29,CLE-SD-WHT-38,1,sizing
2026-W31,CLE-SD-WHT-38,1,sizing
2026-W07,CLE-SD-WHT-39,1,sizing
2026-W08,CLE-SD-WHT-39,1,sizing
2026-W19,CLE-SD-WHT-39,1,sizing
2026-W23,CLE-SD-WHT-39,1,sizing
2026-W24,CLE-SD-WHT-39,1,sizing
2026-W26,CLE-SD-WHT-39,1,sizing
2026-W27,CLE-SD-WHT-39,1,sizing
2026-W30,CLE-SD-WHT-39,1,sizing
2026-W31,CLE-SD-WHT-39,1,sizing
2026-W06,LUN-PD-GLD,4,colour differs
2026-W07,LUN-PD-GLD,4,colour differs
2026-W08,LUN-PD-GLD,5,changed mind
2026-W11,LUN-PD-GLD,4,changed mind
2026-W12,LUN-PD-GLD,4,colour differs
2026-W15,LUN-PD-GLD,4,changed mind
2026-W17,LUN-PD-GLD,4,changed mind
2026-W19,LUN-PD-GLD,4,colour differs
2026-W28,LUN-PD-GLD,2,changed mind
2026-W29,LUN-PD-GLD,3,changed mind
2026-W31,LUN-PD-GLD,3,colour differs
2026-W09,LUN-PD-SLV,3,colour differs
2026-W11,LUN-PD-SLV,3,changed mind
2026-W13,LUN-PD-SLV,3,changed mind
2026-W14,LUN-PD-SLV,3,changed mind
2026-W21,LUN-PD-SLV,3,changed mind
2026-W24,LUN-PD-SLV,2,changed mind
2026-W28,LUN-PD-SLV,4,colour differs
2026-W30,LUN-PD-SLV,3,changed mind
2026-W07,ORL-HP-GLD,4,changed mind
2026-W10,ORL-HP-GLD,6,changed mind
2026-W12,ORL-HP-GLD,4,changed mind
2026-W13,ORL-HP-GLD,5,colour differs
2026-W16,ORL-HP-GLD,6,changed mind
2026-W17,ORL-HP-GLD,5,colour differs
2026-W19,ORL-HP-GLD,5,changed mind
2026-W21,ORL-HP-GLD,6,colour differs
2026-W22,ORL-HP-GLD,6,changed mind
2026-W24,ORL-HP-GLD,7,colour differs
2026-W27,ORL-HP-GLD,4,changed mind
2026-W28,ORL-HP-GLD,4,colour differs
2026-W29,ORL-HP-GLD,4,changed mind
2026-W31,ORL-HP-GLD,4,colour differs
2026-W06,ORL-HP-SLV,3,changed mind
2026-W09,ORL-HP-SLV,3,colour differs
2026-W13,ORL-HP-SLV,4,colour differs
2026-W18,ORL-HP-SLV,3,colour differs
2026-W19,ORL-HP-SLV,3,changed mind
2026-W20,ORL-HP-SLV,3,colour differs
2026-W24,ORL-HP-SLV,3,changed mind
2026-W26,ORL-HP-SLV,5,changed mind
2026-W29,ORL-HP-SLV,4,changed mind
2026-W31,ORL-HP-SLV,3,colour differs
2026-W08,IVY-CF-GLD,2,changed mind
2026-W10,IVY-CF-GLD,2,colour differs
2026-W12,IVY-CF-GLD,1,colour differs
2026-W18,IVY-CF-GLD,1,colour differs
2026-W19,IVY-CF-GLD,2,changed mind
2026-W20,IVY-CF-GLD,2,changed mind
2026-W21,IVY-CF-GLD,2,changed mind
2026-W22,IVY-CF-GLD,2,changed mind
2026-W23,IVY-CF-GLD,2,changed mind
2026-W24,IVY-CF-GLD,2,changed mind
2026-W25,IVY-CF-GLD,2,changed mind
2026-W27,IVY-CF-GLD,1,changed mind
2026-W28,IVY-CF-GLD,1,colour differs
2026-W29,IVY-CF-GLD,2,colour differs
2026-W06,NOV-ST-GLD,4,colour differs
2026-W07,NOV-ST-GLD,3,colour differs
2026-W13,NOV-ST-GLD,5,changed mind
2026-W17,NOV-ST-GLD,5,changed mind
